cell_sha,alpha,beta,gamma,p_skills,seed,final_reward,status,elapsed_s
4d9461ad6ec2,0.5,0.5,0.0,-10.0,42,-0.14049376884941012,ok,9.954541457991581
4d9461ad6ec2,0.5,0.5,0.0,-10.0,7,-0.3200000044889748,ok,11.78383108304115
4d9461ad6ec2,0.5,0.5,0.0,-10.0,123,-0.3200000016367994,ok,10.657357542018872
4d9461ad6ec2,0.5,0.5,0.0,-10.0,314,-0.3474999899044633,ok,10.96357291698223
4d9461ad6ec2,0.5,0.5,0.0,-10.0,271,-0.3200000101933256,ok,9.601492999994662
6bd71ae5a58a,0.5,0.5,0.0,-5.0,42,-0.14049376884941012,ok,9.932301708031446
6bd71ae5a58a,0.5,0.5,0.0,-5.0,7,-0.3200000044889748,ok,9.592480750055984
6bd71ae5a58a,0.5,0.5,0.0,-5.0,123,-0.3200000016367994,ok,10.65031470899703
6bd71ae5a58a,0.5,0.5,0.0,-5.0,314,-0.3474999899044633,ok,10.582534583983943
6bd71ae5a58a,0.5,0.5,0.0,-5.0,271,-0.3200000101933256,ok,8.969380667025689
7020e68b9384,0.5,0.5,0.0,-1.0,42,-0.14049376884941012,ok,9.32862720900448
7020e68b9384,0.5,0.5,0.0,-1.0,7,-0.3200000044889748,ok,9.389523457968608
7020e68b9384,0.5,0.5,0.0,-1.0,123,-0.3200000016367994,ok,10.508366834023036
7020e68b9384,0.5,0.5,0.0,-1.0,314,-0.3474999899044633,ok,10.266604500007816
7020e68b9384,0.5,0.5,0.0,-1.0,271,-0.3200000101933256,ok,9.99863866699161
41246c47cc34,0.5,0.5,0.5,-10.0,42,-0.12000001699198037,ok,9.370656125014648
41246c47cc34,0.5,0.5,0.5,-10.0,7,-0.12000000616535544,ok,9.193583499989472
41246c47cc34,0.5,0.5,0.5,-10.0,123,-0.20333336829207838,ok,10.51584637502674
41246c47cc34,0.5,0.5,0.5,-10.0,314,-0.24749997060280293,ok,10.505055292043835
41246c47cc34,0.5,0.5,0.5,-10.0,271,-0.12000000709667802,ok,9.497322749986779
3cfee807f671,0.5,0.5,0.5,-5.0,42,-0.12000001699198037,ok,9.84315962495748
3cfee807f671,0.5,0.5,0.5,-5.0,7,-0.12000000616535544,ok,9.855378874985036
3cfee807f671,0.5,0.5,0.5,-5.0,123,-0.20333336829207838,ok,11.834120750019792
3cfee807f671,0.5,0.5,0.5,-5.0,314,-0.24749997060280293,ok,11.77979741699528
3cfee807f671,0.5,0.5,0.5,-5.0,271,-0.12000000709667802,ok,10.088726499991026
e3880f058a8c,0.5,0.5,0.5,-1.0,42,-0.12000001699198037,ok,10.701977084041573
e3880f058a8c,0.5,0.5,0.5,-1.0,7,-0.12000000616535544,ok,10.752099957957398
e3880f058a8c,0.5,0.5,0.5,-1.0,123,-0.20333336829207838,ok,10.082188250031322
e3880f058a8c,0.5,0.5,0.5,-1.0,314,-0.24749997060280293,ok,10.8625288750045
e3880f058a8c,0.5,0.5,0.5,-1.0,271,-0.12000000709667802,ok,9.439743416965939
b87928b70cd8,0.5,0.5,1.0,-10.0,42,0.07999995502177626,ok,9.58971562498482
b87928b70cd8,0.5,0.5,1.0,-10.0,7,0.2068827411858365,ok,10.15550016699126
b87928b70cd8,0.5,0.5,1.0,-10.0,123,-0.059012406039983034,ok,10.982991707976907
b87928b70cd8,0.5,0.5,1.0,-10.0,314,-0.14750002219807357,ok,10.21307641704334
b87928b70cd8,0.5,0.5,1.0,-10.0,271,0.07999997679144144,ok,9.410276458016597
6bf2a35ef821,0.5,0.5,1.0,-5.0,42,0.07999995502177626,ok,9.55219058302464
6bf2a35ef821,0.5,0.5,1.0,-5.0,7,0.2068827411858365,ok,10.901704624993727
6bf2a35ef821,0.5,0.5,1.0,-5.0,123,-0.059012406039983034,ok,11.233664041967131
6bf2a35ef821,0.5,0.5,1.0,-5.0,314,-0.14750002219807357,ok,10.323537292017136
6bf2a35ef821,0.5,0.5,1.0,-5.0,271,0.07999997679144144,ok,9.401315167022403
483d2f567a6d,0.5,0.5,1.0,-1.0,42,0.07999995502177626,ok,9.765251874981914
483d2f567a6d,0.5,0.5,1.0,-1.0,7,0.2068827411858365,ok,9.926630999951158
483d2f567a6d,0.5,0.5,1.0,-1.0,123,-0.059012406039983034,ok,10.651487957977224
483d2f567a6d,0.5,0.5,1.0,-1.0,314,-0.14750002219807357,ok,10.17845662496984
483d2f567a6d,0.5,0.5,1.0,-1.0,271,0.07999997679144144,ok,9.34696445800364
7ead0f0f0871,0.5,1.0,0.0,-10.0,42,-0.20716043538413942,ok,9.611886250029784
7ead0f0f0871,0.5,1.0,0.0,-10.0,7,-0.4200000073760748,ok,9.682585207978263
7ead0f0f0871,0.5,1.0,0.0,-10.0,123,-0.42000000993721187,ok,10.671476374962367
7ead0f0f0871,0.5,1.0,0.0,-10.0,314,-0.4974999747937545,ok,10.84532083303202
7ead0f0f0871,0.5,1.0,0.0,-10.0,271,-0.4200000141863711,ok,9.60654320800677
a2f187189836,0.5,1.0,0.0,-5.0,42,-0.20716043538413942,ok,9.340775416989345
a2f187189836,0.5,1.0,0.0,-5.0,7,-0.4200000073760748,ok,10.229334832984023
a2f187189836,0.5,1.0,0.0,-5.0,123,-0.42000000993721187,ok,10.957755374955013
a2f187189836,0.5,1.0,0.0,-5.0,314,-0.4974999747937545,ok,10.788890540949069
a2f187189836,0.5,1.0,0.0,-5.0,271,-0.4200000141863711,ok,9.187115374952555
805a8d85a917,0.5,1.0,0.0,-1.0,42,-0.20716043538413942,ok,9.878212124982383
805a8d85a917,0.5,1.0,0.0,-1.0,7,-0.4200000073760748,ok,10.37789000000339
805a8d85a917,0.5,1.0,0.0,-1.0,123,-0.42000000993721187,ok,10.566931666980963
805a8d85a917,0.5,1.0,0.0,-1.0,314,-0.4974999747937545,ok,10.843542749993503
805a8d85a917,0.5,1.0,0.0,-1.0,271,-0.4200000141863711,ok,9.58016258297721
2d7470a0b609,0.5,1.0,0.5,-10.0,42,-0.22000000113621354,ok,10.480512125010137
2d7470a0b609,0.5,1.0,0.5,-10.0,7,0.011785710230469704,ok,9.961020833987277
2d7470a0b609,0.5,1.0,0.5,-10.0,123,-0.4700000542216003,ok,10.881003415968735
2d7470a0b609,0.5,1.0,0.5,-10.0,314,-0.39749998203478754,ok,10.933707042015158
2d7470a0b609,0.5,1.0,0.5,-10.0,271,-0.21999997552484274,ok,9.254671999951825
ebafd3394a2a,0.5,1.0,0.5,-5.0,42,-0.22000000113621354,ok,10.133189500018489
ebafd3394a2a,0.5,1.0,0.5,-5.0,7,0.011785710230469704,ok,11.24963941698661
ebafd3394a2a,0.5,1.0,0.5,-5.0,123,-0.4700000542216003,ok,11.264241959026549
ebafd3394a2a,0.5,1.0,0.5,-5.0,314,-0.39749998203478754,ok,11.85765108303167
ebafd3394a2a,0.5,1.0,0.5,-5.0,271,-0.21999997552484274,ok,10.439604750019498
3990f619fed2,0.5,1.0,0.5,-1.0,42,-0.22000000113621354,ok,10.007059834024403
3990f619fed2,0.5,1.0,0.5,-1.0,7,0.011785710230469704,ok,9.692875583015848
3990f619fed2,0.5,1.0,0.5,-1.0,123,-0.4700000542216003,ok,10.134092208987568
3990f619fed2,0.5,1.0,0.5,-1.0,314,-0.39749998203478754,ok,10.154545457975473
3990f619fed2,0.5,1.0,0.5,-1.0,271,-0.21999997552484274,ok,8.563531874970067
0f7e573e84a0,0.5,1.0,1.0,-10.0,42,7.031485438346863e-08,ok,9.783769917034078
0f7e573e84a0,0.5,1.0,1.0,-10.0,7,0.016875035595148802,ok,9.499739499995485
0f7e573e84a0,0.5,1.0,1.0,-10.0,123,0.7909876252524555,ok,10.34573962498689
0f7e573e84a0,0.5,1.0,1.0,-10.0,314,-0.29750000848434865,ok,10.657477541011758
0f7e573e84a0,0.5,1.0,1.0,-10.0,271,-0.019999999552965164,ok,9.468702250043862
8ed2cc92ed97,0.5,1.0,1.0,-5.0,42,7.031485438346863e-08,ok,9.324259416025598
8ed2cc92ed97,0.5,1.0,1.0,-5.0,7,0.016875035595148802,ok,9.83848641597433
8ed2cc92ed97,0.5,1.0,1.0,-5.0,123,0.7909876252524555,ok,10.183150666009169
8ed2cc92ed97,0.5,1.0,1.0,-5.0,314,-0.29750000848434865,ok,10.215827875013929
8ed2cc92ed97,0.5,1.0,1.0,-5.0,271,-0.019999999552965164,ok,8.821429583011195
08f03c0647e6,0.5,1.0,1.0,-1.0,42,7.031485438346863e-08,ok,10.016413500008639
08f03c0647e6,0.5,1.0,1.0,-1.0,7,0.016875035595148802,ok,9.653922708006576
08f03c0647e6,0.5,1.0,1.0,-1.0,123,0.7909876252524555,ok,10.26831700000912
08f03c0647e6,0.5,1.0,1.0,-1.0,314,-0.29750000848434865,ok,10.56592266599182
08f03c0647e6,0.5,1.0,1.0,-1.0,271,-0.019999999552965164,ok,9.173716416000389
88b5692ce9e6,0.5,2.0,0.0,-10.0,42,-0.34049371303990483,ok,10.274588417029008
88b5692ce9e6,0.5,2.0,0.0,-10.0,7,-0.32392852960038,ok,9.476474250026513
88b5692ce9e6,0.5,2.0,0.0,-10.0,123,-0.6200001102406532,ok,9.640704000019468
88b5692ce9e6,0.5,2.0,0.0,-10.0,314,-0.7974999501602724,ok,9.908914499974344
88b5692ce9e6,0.5,2.0,0.0,-10.0,271,-0.6199999414384365,ok,9.503105790994596
af16f278a055,0.5,2.0,0.0,-5.0,42,-0.34049371303990483,ok,9.491322041023523
af16f278a055,0.5,2.0,0.0,-5.0,7,-0.32392852960038,ok,9.244989124999847
af16f278a055,0.5,2.0,0.0,-5.0,123,-0.6200001102406532,ok,9.751851459033787
af16f278a055,0.5,2.0,0.0,-5.0,314,-0.7974999501602724,ok,9.825909583014436
af16f278a055,0.5,2.0,0.0,-5.0,271,-0.6199999414384365,ok,8.94822949997615
d2e882e66e59,0.5,2.0,0.0,-1.0,42,-0.34049371303990483,ok,9.283460374979768
d2e882e66e59,0.5,2.0,0.0,-1.0,7,-0.32392852960038,ok,9.193720208015293
d2e882e66e59,0.5,2.0,0.0,-1.0,123,-0.6200001102406532,ok,10.030830290983431
d2e882e66e59,0.5,2.0,0.0,-1.0,314,-0.7974999501602724,ok,9.812268291017972
d2e882e66e59,0.5,2.0,0.0,-1.0,271,-0.6199999414384365,ok,8.603404124965891
36bf5d7848c4,0.5,2.0,0.5,-10.0,42,-0.5033332977909595,ok,9.235803791962098
36bf5d7848c4,0.5,2.0,0.5,-10.0,7,-0.07392857782542706,ok,10.401084874989465
36bf5d7848c4,0.5,2.0,0.5,-10.0,123,-0.6700000232085586,ok,9.665548334014602
36bf5d7848c4,0.5,2.0,0.5,-10.0,314,-0.6974999769590795,ok,10.119755166000687
36bf5d7848c4,0.5,2.0,0.5,-10.0,271,-0.4200000502169132,ok,8.727102000033483
d75f7b64ad6a,0.5,2.0,0.5,-5.0,42,-0.5033332977909595,ok,9.05636308400426
d75f7b64ad6a,0.5,2.0,0.5,-5.0,7,-0.07392857782542706,ok,8.86840483295964
d75f7b64ad6a,0.5,2.0,0.5,-5.0,123,-0.6700000232085586,ok,10.118319250002969
d75f7b64ad6a,0.5,2.0,0.5,-5.0,314,-0.6974999769590795,ok,9.944429916038644
d75f7b64ad6a,0.5,2.0,0.5,-5.0,271,-0.4200000502169132,ok,8.823589208011981
9a306bd6d062,0.5,2.0,0.5,-1.0,42,-0.5033332977909595,ok,9.173122166015673
9a306bd6d062,0.5,2.0,0.5,-1.0,7,-0.07392857782542706,ok,9.14016204100335
9a306bd6d062,0.5,2.0,0.5,-1.0,123,-0.6700000232085586,ok,10.024678540998138
9a306bd6d062,0.5,2.0,0.5,-1.0,314,-0.6974999769590795,ok,9.791310833999887
9a306bd6d062,0.5,2.0,0.5,-1.0,271,-0.4200000502169132,ok,8.967306124977767
9ab4ca8cd98c,0.5,2.0,1.0,-10.0,42,-0.21999991545453668,ok,8.690163667022716
9ab4ca8cd98c,0.5,2.0,1.0,-10.0,7,-0.15812505222856998,ok,9.24840033298824
9ab4ca8cd98c,0.5,2.0,1.0,-10.0,123,-0.47000002209097147,ok,9.73817050002981
9ab4ca8cd98c,0.5,2.0,1.0,-10.0,314,-0.5974999102763832,ok,10.05545445799362
9ab4ca8cd98c,0.5,2.0,1.0,-10.0,271,-0.2200000649318099,ok,9.13786054198863
9b7617ddfe0d,0.5,2.0,1.0,-5.0,42,-0.21999991545453668,ok,9.736520832986571
9b7617ddfe0d,0.5,2.0,1.0,-5.0,7,-0.15812505222856998,ok,9.340391125006136
9b7617ddfe0d,0.5,2.0,1.0,-5.0,123,-0.47000002209097147,ok,10.090393916005269
9b7617ddfe0d,0.5,2.0,1.0,-5.0,314,-0.5974999102763832,ok,10.131364041997585
9b7617ddfe0d,0.5,2.0,1.0,-5.0,271,-0.2200000649318099,ok,8.996146332996432
e3f5e2e6e1e7,0.5,2.0,1.0,-1.0,42,-0.21999991545453668,ok,8.833557957957964
e3f5e2e6e1e7,0.5,2.0,1.0,-1.0,7,-0.15812505222856998,ok,9.128554290975444
e3f5e2e6e1e7,0.5,2.0,1.0,-1.0,123,-0.47000002209097147,ok,9.698314790963195
e3f5e2e6e1e7,0.5,2.0,1.0,-1.0,314,-0.5974999102763832,ok,9.641155249963049
e3f5e2e6e1e7,0.5,2.0,1.0,-1.0,271,-0.2200000649318099,ok,8.52146974997595
b21b047ed3c3,1.0,0.5,0.0,-10.0,42,-0.36333332723006606,ok,8.906846041034441
b21b047ed3c3,1.0,0.5,0.0,-10.0,7,-0.403750016936101,ok,9.364940833009314
b21b047ed3c3,1.0,0.5,0.0,-10.0,123,-0.5400000151712447,ok,11.339854833029676
b21b047ed3c3,1.0,0.5,0.0,-10.0,314,-0.5449999957345426,ok,13.460682458011433
b21b047ed3c3,1.0,0.5,0.0,-10.0,271,-0.539999998640269,ok,9.831455792009365
ba5a22ac9eb2,1.0,0.5,0.0,-5.0,42,-0.36333332723006606,ok,9.372269332990982
ba5a22ac9eb2,1.0,0.5,0.0,-5.0,7,-0.403750016936101,ok,9.09681775001809
ba5a22ac9eb2,1.0,0.5,0.0,-5.0,123,-0.5400000151712447,ok,10.263597874960396
ba5a22ac9eb2,1.0,0.5,0.0,-5.0,314,-0.5449999957345426,ok,10.000668541993946
ba5a22ac9eb2,1.0,0.5,0.0,-5.0,271,-0.539999998640269,ok,9.226238208007999
11adc5fcbf19,1.0,0.5,0.0,-1.0,42,-0.36333332723006606,ok,8.85887116700178
11adc5fcbf19,1.0,0.5,0.0,-1.0,7,-0.403750016936101,ok,9.093457499984652
11adc5fcbf19,1.0,0.5,0.0,-1.0,123,-0.5400000151712447,ok,9.654502832971048
11adc5fcbf19,1.0,0.5,0.0,-1.0,314,-0.5449999957345426,ok,10.086443040985614
11adc5fcbf19,1.0,0.5,0.0,-1.0,271,-0.539999998640269,ok,8.594438250001986
2e71874b67e0,1.0,0.5,0.5,-10.0,42,-0.3400000213878229,ok,9.074121250014286
2e71874b67e0,1.0,0.5,0.5,-10.0,7,-0.33999990159645677,ok,8.798715915996581
2e71874b67e0,1.0,0.5,0.5,-10.0,123,-0.5900000392575748,ok,9.964357541000936
2e71874b67e0,1.0,0.5,0.5,-10.0,314,-0.4449999699136242,ok,10.034661417012103
2e71874b67e0,1.0,0.5,0.5,-10.0,271,-0.3399999907705933,ok,8.919127374945674
d96f8bda51f3,1.0,0.5,0.5,-5.0,42,-0.3400000213878229,ok,8.470520916976966
d96f8bda51f3,1.0,0.5,0.5,-5.0,7,-0.33999990159645677,ok,8.773857417050749
d96f8bda51f3,1.0,0.5,0.5,-5.0,123,-0.5900000392575748,ok,10.152934916957747
d96f8bda51f3,1.0,0.5,0.5,-5.0,314,-0.4449999699136242,ok,9.95841212500818
d96f8bda51f3,1.0,0.5,0.5,-5.0,271,-0.3399999907705933,ok,8.537792209011968
bb802175ee44,1.0,0.5,0.5,-1.0,42,-0.3400000213878229,ok,8.550226000021212
bb802175ee44,1.0,0.5,0.5,-1.0,7,-0.33999990159645677,ok,8.849939750041813
bb802175ee44,1.0,0.5,0.5,-1.0,123,-0.5900000392575748,ok,9.5319339169655
bb802175ee44,1.0,0.5,0.5,-1.0,314,-0.4449999699136242,ok,9.623619749967474
bb802175ee44,1.0,0.5,0.5,-1.0,271,-0.3399999907705933,ok,8.777618290972896
4b3d20034c5b,1.0,0.5,1.0,-10.0,42,-0.1399999283021316,ok,8.684948582958896
4b3d20034c5b,1.0,0.5,1.0,-10.0,7,-0.05374997644685209,ok,9.390051375026815
4b3d20034c5b,1.0,0.5,1.0,-10.0,123,-0.4013580831233412,ok,10.02718337503029
4b3d20034c5b,1.0,0.5,1.0,-10.0,314,-0.3449999353615567,ok,9.702747582981829
4b3d20034c5b,1.0,0.5,1.0,-10.0,271,-0.14000002609100193,ok,8.906670833006501
d286c984de62,1.0,0.5,1.0,-5.0,42,-0.1399999283021316,ok,8.752681042009499
d286c984de62,1.0,0.5,1.0,-5.0,7,-0.05374997644685209,ok,10.406203208025545
d286c984de62,1.0,0.5,1.0,-5.0,123,-0.4013580831233412,ok,9.754123624996282
d286c984de62,1.0,0.5,1.0,-5.0,314,-0.3449999353615567,ok,9.802329583035316
d286c984de62,1.0,0.5,1.0,-5.0,271,-0.14000002609100193,ok,8.818509333999828
eb0e05fc002a,1.0,0.5,1.0,-1.0,42,-0.1399999283021316,ok,9.822849082993343
eb0e05fc002a,1.0,0.5,1.0,-1.0,7,-0.05374997644685209,ok,9.66829925001366
eb0e05fc002a,1.0,0.5,1.0,-1.0,123,-0.4013580831233412,ok,10.324670291971415
eb0e05fc002a,1.0,0.5,1.0,-1.0,314,-0.3449999353615567,ok,10.271977125026751
eb0e05fc002a,1.0,0.5,1.0,-1.0,271,-0.14000002609100193,ok,9.118884125025943
32d33916753f,1.0,1.0,0.0,-10.0,42,-0.28098766738548875,ok,9.450226457964163
32d33916753f,1.0,1.0,0.0,-10.0,7,-0.6400000089779496,ok,9.003182667016517
32d33916753f,1.0,1.0,0.0,-10.0,123,-0.6400000032735988,ok,10.202710708952509
32d33916753f,1.0,1.0,0.0,-10.0,314,-0.6949999798089266,ok,10.288198457972612
32d33916753f,1.0,1.0,0.0,-10.0,271,-0.6400000203866512,ok,9.107192417024635
effc4debc10f,1.0,1.0,0.0,-5.0,42,-0.28098766738548875,ok,9.059892499994021
effc4debc10f,1.0,1.0,0.0,-5.0,7,-0.6400000089779496,ok,9.286587542039342
effc4debc10f,1.0,1.0,0.0,-5.0,123,-0.6400000032735988,ok,9.931405459006783
effc4debc10f,1.0,1.0,0.0,-5.0,314,-0.6949999798089266,ok,10.388600083999336
effc4debc10f,1.0,1.0,0.0,-5.0,271,-0.6400000203866512,ok,9.127890333009418
8ba635e2c607,1.0,1.0,0.0,-1.0,42,-0.28098766738548875,ok,9.037512167007662
8ba635e2c607,1.0,1.0,0.0,-1.0,7,-0.6400000089779496,ok,9.260680291976314
8ba635e2c607,1.0,1.0,0.0,-1.0,123,-0.6400000032735988,ok,10.138781125016976
8ba635e2c607,1.0,1.0,0.0,-1.0,314,-0.6949999798089266,ok,10.312740041001234
8ba635e2c607,1.0,1.0,0.0,-1.0,271,-0.6400000203866512,ok,8.909709084022325
ee6208473b51,1.0,1.0,0.5,-10.0,42,-0.43999999295920134,ok,9.191520957974717
ee6208473b51,1.0,1.0,0.5,-10.0,7,-0.140714256092906,ok,9.24384608399123
ee6208473b51,1.0,1.0,0.5,-10.0,123,-0.6899999673478305,ok,10.107080250047147
ee6208473b51,1.0,1.0,0.5,-10.0,314,-0.5949999613221735,ok,10.02973066602135
ee6208473b51,1.0,1.0,0.5,-10.0,271,-0.44000001391395926,ok,9.078863041999284
8b1976b1dd11,1.0,1.0,0.5,-5.0,42,-0.43999999295920134,ok,8.91744516696781
8b1976b1dd11,1.0,1.0,0.5,-5.0,7,-0.140714256092906,ok,9.335325540974736
8b1976b1dd11,1.0,1.0,0.5,-5.0,123,-0.6899999673478305,ok,10.798694082943257
