metric,step,mean,ci95,n
modularity,0.0,0.5777391644394982,0.0,5
modularity,1.0,0.5790768069650287,0.003273477029673601,5
modularity,2.0,0.581039108896175,0.0051143650669760185,5
modularity,3.0,0.582465760036916,0.00471344078381883,5
modularity,4.0,0.5826851441500966,0.00481128027228685,5
modularity,5.0,0.5783747091894847,0.005709620530263983,5
modularity,6.0,0.5783932127081017,0.004101364613888203,5
modularity,7.0,0.5790952316811335,0.00530114705625634,5
modularity,8.0,0.5804620695204242,0.008868269957089258,5
modularity,9.0,0.5799718062862795,0.008034382126084922,5
modularity,10.0,0.5833045661976954,0.0056820565829799165,5
modularity,11.0,0.5843935060685767,0.004925842093564046,5
modularity,12.0,0.5843446912435348,0.0043653695087603715,5
modularity,13.0,0.5853471551500251,0.006667190095903165,5
modularity,14.0,0.5830420996879409,0.005897814438605821,5
modularity,15.0,0.5834743753184896,0.0060186578275028746,5
modularity,16.0,0.5817566363199387,0.0032678341346424676,5
modularity,17.0,0.5836166818083847,0.002199525127939823,5
modularity,18.0,0.5823771453018571,0.001712175669019218,5
modularity,19.0,0.5843559471706992,0.0029792037873089075,5
modularity,20.0,0.5846389422608839,0.002942485112895137,5
modularity,21.0,0.5826735517921067,0.005366212843826583,5
modularity,22.0,0.5837486826651247,0.0020137941203476595,5
modularity,23.0,0.5838889233652158,0.0018928869756893517,5
modularity,24.0,0.5825319771574456,0.005867651136153211,5
modularity,25.0,0.5827425298696353,0.004035204075475734,5
modularity,26.0,0.5865937128487775,0.00948220078429324,5
modularity,27.0,0.5842802259768131,0.009649466245252519,5
modularity,28.0,0.586982133554658,0.008207165243675886,5
modularity,29.0,0.5870193278807536,0.009969133630871256,5
modularity,30.0,0.5868943059023651,0.010913154335986042,5
modularity,31.0,0.5857988642958636,0.011011827419228468,5
modularity,32.0,0.5819247303154783,0.007027733628115343,5
modularity,33.0,0.5825524793255534,0.006715644855644592,5
modularity,34.0,0.587660311079927,0.006888098727883869,5
modularity,35.0,0.5868833118472618,0.0108932171113728,5
modularity,36.0,0.5868271682274722,0.011945940559686124,5
modularity,37.0,0.5864680622585121,0.011810090528198766,5
modularity,38.0,0.5877388685863323,0.009402287930124069,5
modularity,39.0,0.5875102034074571,0.00945698651687929,5
modularity,40.0,0.5851645603556026,0.010996221332229801,5
modularity,41.0,0.5860572851672549,0.0097639333759418,5
modularity,42.0,0.5850154802564701,0.007666262443956215,5
modularity,43.0,0.584183218815439,0.006831912829936296,5
modularity,44.0,0.5825065298532801,0.00836815239251737,5
modularity,45.0,0.5827243970190402,0.007536677649503997,5
modularity,46.0,0.5829312824407504,0.007438611854858373,5
modularity,47.0,0.5822721344312692,0.007219919078355113,5
modularity,48.0,0.582749604234382,0.007692959423156651,5
modularity,49.0,0.5839524643429254,0.00825946845114514,5
modularity,50.0,0.5874958146388547,0.008877109542924366,5
modularity,51.0,0.5854689202499656,0.004178131567438335,5
modularity,52.0,0.5887002936725879,0.005178660741735496,5
modularity,53.0,0.5862210076242411,0.003015592893890392,5
modularity,54.0,0.5832360502949236,0.009925526535288146,5
modularity,55.0,0.5839252800087449,0.0069626168861946286,5
modularity,56.0,0.5832490048425791,0.008472964637044599,5
modularity,57.0,0.5832624473200985,0.006303661597911713,5
modularity,58.0,0.5835875867707125,0.01028763290447659,5
modularity,59.0,0.5815532273897883,0.0049416712162367255,5
modularity,60.0,0.581917216225343,0.00494753536178252,5
modularity,61.0,0.5806473584558469,0.0037532589426132715,5
modularity,62.0,0.5851567114158571,0.006867947116420069,5
modularity,63.0,0.5814638846886838,0.013550329587796742,5
modularity,64.0,0.5807927379659801,0.013391057633716195,5
modularity,65.0,0.5801602274877127,0.009106419831299862,5
modularity,66.0,0.5842565848671752,0.009306801910671382,5
modularity,67.0,0.5832445666570588,0.009114615813741152,5
modularity,68.0,0.5789679255592988,0.010073430074755812,5
modularity,69.0,0.5796340316781491,0.005358072453826531,5
modularity,70.0,0.5800558942926021,0.004937539132840002,5
modularity,71.0,0.5817082062517906,0.005274163777256607,5
modularity,72.0,0.5813334915933396,0.007299259657114079,5
modularity,73.0,0.5812033865874275,0.007949109289656368,5
modularity,74.0,0.5839950145108667,0.0063454617217775814,5
modularity,75.0,0.5807712184767173,0.009882410425968869,5
modularity,76.0,0.5814837285200262,0.009497933133883052,5
modularity,77.0,0.5810597757543359,0.009336399424776971,5
modularity,78.0,0.5839320503206592,0.008870208068461082,5
modularity,79.0,0.583640778556148,0.008789820124086462,5
modularity,80.0,0.5810887233296609,0.007033250079674053,5
modularity,81.0,0.5836742117366441,0.007840386978080018,5
modularity,82.0,0.5857242002494173,0.007709642242383371,5
modularity,83.0,0.5815943683840503,0.011947357110428327,5
modularity,84.0,0.5807074276897677,0.009336365059921421,5
modularity,85.0,0.5800790543329383,0.007814863348308936,5
modularity,86.0,0.5801339212951971,0.008527354614052258,5
modularity,87.0,0.5779688647170463,0.010325445391764665,5
modularity,88.0,0.5782350726557034,0.010783131678149326,5
modularity,89.0,0.578243536490591,0.00984343838757172,5
modularity,90.0,0.5793958765338528,0.006568100565233609,5
modularity,91.0,0.5800037773786789,0.00604105697699589,5
modularity,92.0,0.5837379969164187,0.0064840713857270025,5
modularity,93.0,0.58453458522393,0.004592659391516686,5
modularity,94.0,0.5826095755878564,0.005257782983462458,5
modularity,95.0,0.5822758205928291,0.005244350642056068,5
modularity,96.0,0.5839616855820645,0.008632431146988685,5
modularity,97.0,0.5831155176300015,0.009770749993889244,5
modularity,98.0,0.5831762314747599,0.009762022200934676,5
modularity,99.0,0.5808493579748657,0.006256354295982436,5
modularity,100.0,0.5821568301856292,0.003931399624120324,5
modularity,101.0,0.5820948461494987,0.0033897255936551087,5
modularity,102.0,0.5832245940970359,0.0029885133777925892,5
modularity,103.0,0.5834344489567271,0.0058184805740812305,5
modularity,104.0,0.5841019052280524,0.005773188157548969,5
modularity,105.0,0.5877266201345407,0.008765376065585853,5
modularity,106.0,0.5876304694192299,0.00796300426212893,5
modularity,107.0,0.5846411603155003,0.005950455197168933,5
modularity,108.0,0.5828874361359717,0.005827105483880025,5
modularity,109.0,0.5814674400698987,0.01030862361536431,5
modularity,110.0,0.5791896133079965,0.007901431496055414,5
modularity,111.0,0.5806248810430074,0.011571085491267412,5
modularity,112.0,0.5853129041876934,0.008016562899151931,5
modularity,113.0,0.5824739766332157,0.007190031676939031,5
modularity,114.0,0.5830188143253577,0.00703862214489457,5
modularity,115.0,0.5851234409001236,0.0073556236491474055,5
modularity,116.0,0.5817682648232703,0.00737225097619827,5
modularity,117.0,0.5816728323011376,0.007590723722479629,5
modularity,118.0,0.5837223189322975,0.005974804839672687,5
modularity,119.0,0.5851993212507085,0.00690797189509863,5
modularity,120.0,0.5815636874077013,0.005526059393149993,5
modularity,121.0,0.5818910445242912,0.00759963039378777,5
modularity,122.0,0.5815762791782001,0.00734536716959467,5
modularity,123.0,0.5805439754676914,0.007785771498645314,5
modularity,124.0,0.5841084556199733,0.005599478274488562,5
modularity,125.0,0.579753557730212,0.004424227960282766,5
modularity,126.0,0.5785587945337826,0.008852268150102854,5
modularity,127.0,0.5817079126529074,0.00487637600290799,5
modularity,128.0,0.5786066375668403,0.007620666332574248,5
cohesion,0.0,0.05722673170240371,0.0,5
cohesion,1.0,0.058232625407431196,0.0017406833551694074,5
cohesion,2.0,0.0591279218707072,0.0014326792637311403,5
cohesion,3.0,0.05923629649204998,0.0015514192894436692,5
cohesion,4.0,0.05878031989912654,0.0020960366031655543,5
cohesion,5.0,0.05758992297733898,0.0046769362375321255,5
cohesion,6.0,0.05832283144837934,0.005065631094617497,5
cohesion,7.0,0.05871850494775047,0.004451446833919225,5
cohesion,8.0,0.05931304076145283,0.004327837320092123,5
cohesion,9.0,0.05942158671141988,0.0048447867346440325,5
cohesion,10.0,0.05830416012035542,0.0058724017394526035,5
cohesion,11.0,0.05852575445780286,0.005278521452771825,5
cohesion,12.0,0.06021486856959746,0.0033146146429192266,5
cohesion,13.0,0.05718110213737958,0.004692803639615559,5
cohesion,14.0,0.05824362104087481,0.005828052441312115,5
cohesion,15.0,0.057548567199566955,0.00567631707782185,5
cohesion,16.0,0.05855417097637633,0.005672296852751479,5
