metric,step,mean,ci95,n
modularity,0.0,0.5900113392863131,0.0,5
modularity,1.0,0.5880076090185412,0.004494051917931395,5
modularity,2.0,0.5885498292307708,0.004332314043580481,5
modularity,3.0,0.5883867643946961,0.0035879125916486133,5
modularity,4.0,0.5878929963057176,0.004631270766821712,5
modularity,5.0,0.587579772341637,0.0055827367042425085,5
modularity,6.0,0.5892983105859875,0.00517136711841437,5
modularity,7.0,0.5876189831288093,0.006126151178574611,5
modularity,8.0,0.5865580702266833,0.006936681162653669,5
modularity,9.0,0.5876877796691347,0.007014088713238658,5
modularity,10.0,0.5858537960458279,0.005245148190686069,5
modularity,11.0,0.588513814617547,0.006241824902932009,5
modularity,12.0,0.5882692942612648,0.0055162803386818934,5
modularity,13.0,0.5877449238764836,0.007667960792418526,5
modularity,14.0,0.587810728767587,0.007524529107578458,5
modularity,15.0,0.5882028309888756,0.007356547645314563,5
modularity,16.0,0.5889377869067707,0.0065278165027364546,5
modularity,17.0,0.5885759821625857,0.008887179967344746,5
modularity,18.0,0.5886207729326216,0.010118791973609138,5
modularity,19.0,0.5878514163977389,0.005020023341937658,5
modularity,20.0,0.5872709220834602,0.006487959735215868,5
modularity,21.0,0.5844890945207665,0.011927634767619622,5
modularity,22.0,0.5829419158214274,0.013856173740411705,5
modularity,23.0,0.583539371946482,0.0134436671928962,5
modularity,24.0,0.5850152200461476,0.014508355645712588,5
modularity,25.0,0.5887075518594502,0.004419507210031641,5
modularity,26.0,0.5885751023008909,0.007062502933348087,5
modularity,27.0,0.5902819232828965,0.005181174249860638,5
modularity,28.0,0.5914525899887509,0.0035573472125224647,5
modularity,29.0,0.5900065593064,0.003847879745865757,5
modularity,30.0,0.5926029251163238,0.005916297580827025,5
modularity,31.0,0.58882294147048,0.007871933127282685,5
modularity,32.0,0.5881314505724002,0.006694439392352119,5
modularity,33.0,0.5895000780612444,0.006372985434900915,5
modularity,34.0,0.5884454333138648,0.006926854651215445,5
modularity,35.0,0.5880105213335132,0.00717453175534447,5
modularity,36.0,0.5896126673354039,0.006303965731985697,5
modularity,37.0,0.5930346153864081,0.003578999753925567,5
modularity,38.0,0.5919156356375341,0.004693033734276819,5
modularity,39.0,0.5898120134547048,0.005008888716083652,5
modularity,40.0,0.590843589568976,0.005068041660620534,5
modularity,41.0,0.5889943307679891,0.0020663330599016835,5
modularity,42.0,0.5896597733031055,0.002402499942971933,5
modularity,43.0,0.5873276715605901,0.008688971108267761,5
modularity,44.0,0.5858774779873955,0.01254676354215575,5
modularity,45.0,0.589391147124988,0.004792085183994106,5
modularity,46.0,0.5893935293625827,0.0040674729919642485,5
modularity,47.0,0.5879418889936483,0.004236209874888886,5
modularity,48.0,0.5886411856556808,0.003984963008073673,5
modularity,49.0,0.5891647465897071,0.0039887804668917,5
modularity,50.0,0.5869812169918841,0.004660033483681999,5
modularity,51.0,0.5864063956610052,0.005675335365688427,5
modularity,52.0,0.5868037561390856,0.005482797850119742,5
modularity,53.0,0.5833770093033165,0.005912480116677603,5
modularity,54.0,0.5845837800073589,0.006577066718068381,5
modularity,55.0,0.5820864336824039,0.009522582791919343,5
modularity,56.0,0.5831139329667836,0.007180289760454727,5
modularity,57.0,0.5824493536830413,0.005935320386482564,5
modularity,58.0,0.5850918006186611,0.006801555469714759,5
modularity,59.0,0.5857872402726171,0.005101385517444304,5
modularity,60.0,0.5864415798978179,0.004727666297373148,5
